(24, 11)
(16, 7)
(35, 11)
(1, 18)
(16, 16)
(38, 13)
(15, 20)
(38, 22)
(15, 29)
(26, 29)
(5, 6)
(18, 25)
(7, 25)
(27, 3)
(27, 12)
(19, 8)
(8, 8)
(30, 8)
(0, 4)
(27, 21)
(8, 17)
(19, 17)
(30, 17)
(11, 13)
(0, 13)
(19, 26)
(8, 26)
(30, 26)
(11, 22)
(0, 22)
(39, 4)
(20, 0)
(31, 0)
(39, 13)
(20, 9)
(31, 9)
(39, 22)
(12, 5)
(23, 5)
(20, 18)
(4, 1)
(31, 18)
(12, 14)
(23, 14)
(4, 10)
(12, 23)
(23, 23)
(4, 19)
(32, 1)
(34, 20)
(4, 28)
(34, 29)
(1, 4)
(24, 6)
(35, 6)
(16, 2)
(37, 25)
(1, 13)
(38, 8)
(15, 15)
(26, 15)
(38, 17)
(15, 24)
(26, 24)
(38, 26)
(7, 20)
(18, 20)
(7, 29)
(18, 29)
(27, 7)
(8, 3)
(19, 3)
(30, 3)
(27, 16)
(8, 12)
(19, 12)
(30, 12)
(11, 8)
(0, 8)
(8, 21)
(19, 21)
(27, 25)
(11, 17)
(0, 17)
(30, 21)
(11, 26)
(0, 26)
(39, 8)
(20, 4)
(31, 4)
(12, 0)
(23, 0)
(20, 13)
(31, 13)
(12, 9)
(23, 9)
(4, 5)
(23, 18)
(4, 14)
(34, 15)
(22, 22)
(34, 24)
(37, 20)
(14, 27)
(3, 27)
(15, 1)
(38, 3)
(15, 10)
(26, 10)
(38, 12)
(7, 6)
(18, 6)
(15, 19)
(26, 19)
(38, 21)
(7, 15)
(18, 15)
(15, 28)
(26, 28)
(7, 24)
(18, 24)
(27, 2)
(27, 11)
(19, 7)
(8, 7)
(30, 7)
(0, 3)
(11, 3)
(8, 16)
(19, 16)
(30, 16)
(11, 12)
(0, 12)
(19, 25)
(27, 20)
(30, 25)
(11, 21)
(0, 21)
(33, 27)
(12, 4)
(23, 4)
(25, 23)
(4, 0)
(34, 1)
(4, 9)
(34, 10)
(37, 6)
(22, 17)
(34, 19)
(3, 13)
(14, 13)
(22, 26)
(34, 28)
(37, 15)
(14, 22)
(3, 22)
(37, 24)
(15, 5)
(26, 5)
(38, 7)
(7, 1)
(18, 1)
(15, 14)
(26, 14)
(38, 16)
(7, 10)
(18, 10)
(15, 23)
(26, 23)
(7, 19)
(18, 19)
(7, 28)
(18, 28)
(27, 6)
(8, 2)
(19, 2)
(30, 2)
(8, 11)
(19, 11)
(30, 11)
(11, 7)
(0, 7)
(11, 16)
(0, 16)
(33, 13)
(10, 20)
(33, 22)
(25, 18)
(10, 29)
